Begin,End,Label,Type,Speaker
0.03,0.32,dân,words,temp
0.32,0.48,tộc,words,temp
0.55,1.14,nào,words,temp
1.19,1.33,cũng,words,temp
1.33,1.5,có,words,temp
1.5,1.77,quyền,words,temp
1.77,2.13,sống,words,temp
2.53,2.67,quyền,words,temp
2.7,2.89,sung,words,temp
2.96,3.39,sướng,words,temp
3.56,3.75,và,words,temp
3.75,3.99,quyền,words,temp
3.99,4.1,tự,words,temp
4.1,4.55,do,words,temp
5.78,6.27,bản,words,temp
6.3,6.52,tuyên,words,temp
6.52,7.15,ngôn,words,temp
7.53,8.0,nhân,words,temp
8.0,8.58,quyền,words,temp
8.63,8.98,và,words,temp
8.98,9.32,dân,words,temp
9.32,9.72,quyền,words,temp
9.83,10.1,của,words,temp
10.1,10.28,cách,words,temp
10.28,10.67,mạng,words,temp
10.76,10.89,pháp,words,temp
11.37,11.9,năm,words,temp
12.21,12.33,một,words,temp
12.53,12.98,ngàn,words,temp
12.98,13.22,bẩy,words,temp
13.29,13.57,trăm,words,temp
13.57,13.93,chín,words,temp
13.93,14.07,mốt,words,temp
14.07,14.52,cũng,words,temp
14.52,14.7,nói,words,temp
0.03,0.08,z,phones,temp
0.08,0.13,ə˨˨,phones,temp
0.13,0.32,n,phones,temp
0.32,0.36,t,phones,temp
0.36,0.39,o˨˩,phones,temp
0.39,0.48,kp,phones,temp
0.55,0.64,n,phones,temp
0.64,0.8,aː˨˨,phones,temp
0.8,1.14,w,phones,temp
1.19,1.22,k,phones,temp
1.22,1.25,u˨ˀ˥,phones,temp
1.25,1.33,ŋm,phones,temp
1.33,1.42,k,phones,temp
1.42,1.5,ɔː˨˦,phones,temp
1.5,1.61,k,phones,temp
1.61,1.63,w,phones,temp
1.63,1.66,iə˨˨,phones,temp
1.66,1.77,n,phones,temp
1.77,1.86,s,phones,temp
1.86,1.91,o˨˦,phones,temp
1.91,2.13,ŋm,phones,temp
2.53,2.56,k,phones,temp
2.56,2.58,w,phones,temp
2.58,2.61,iə˨˨,phones,temp
2.61,2.67,n,phones,temp
2.7,2.77,s,phones,temp
2.77,2.8,u˨˨,phones,temp
2.8,2.89,ŋm,phones,temp
2.96,2.99,s,phones,temp
2.99,3.11,ɨə˨˦,phones,temp
3.11,3.39,ŋ,phones,temp
3.56,3.61,v,phones,temp
3.61,3.75,aː˨˨,phones,temp
3.75,3.87,k,phones,temp
3.87,3.89,w,phones,temp
3.89,3.92,iə˨˨,phones,temp
3.92,3.99,n,phones,temp
3.99,4.03,t,phones,temp
4.03,4.1,ɨː˨˩ˀ,phones,temp
4.1,4.16,z,phones,temp
4.16,4.55,ɔː˨˨,phones,temp
5.78,5.93,ɓ,phones,temp
5.93,6.06,aː˨˩˨,phones,temp
6.06,6.27,n,phones,temp
6.3,6.33,t,phones,temp
6.33,6.35,w,phones,temp
6.35,6.43,iə˨˨,phones,temp
6.43,6.52,n,phones,temp
6.52,6.61,ŋ,phones,temp
6.61,6.74,oː˨˨,phones,temp
6.74,7.15,n,phones,temp
7.53,7.68,ɲ,phones,temp
7.68,7.73,ə˨˨,phones,temp
7.73,8.0,n,phones,temp
8.0,8.09,k,phones,temp
8.09,8.12,w,phones,temp
8.12,8.25,iə˨˨,phones,temp
8.25,8.58,n,phones,temp
8.63,8.7,v,phones,temp
8.7,8.98,aː˨˨,phones,temp
8.98,9.12,z,phones,temp
9.12,9.17,ə˨˨,phones,temp
9.17,9.32,n,phones,temp
9.32,9.42,k,phones,temp
9.42,9.45,w,phones,temp
9.45,9.55,iə˨˨,phones,temp
9.55,9.72,n,phones,temp
9.83,9.9,k,phones,temp
9.9,10.1,uə˨˩˨,phones,temp
10.1,10.22,k,phones,temp
10.22,10.26,a˦˥,phones,temp
10.26,10.28,c,phones,temp
10.28,10.47,m,phones,temp
10.47,10.56,aː˨˩ˀ,phones,temp
10.56,10.67,ŋ,phones,temp
10.76,10.79,f,phones,temp
10.79,10.89,aː˦˥,phones,temp
11.37,11.47,n,phones,temp
11.47,11.55,a˨˨,phones,temp
11.55,11.9,m,phones,temp
12.21,12.29,m,phones,temp
12.29,12.33,oː˨˩,phones,temp
12.53,12.62,ŋ,phones,temp
12.62,12.65,aː˨˨,phones,temp
12.65,12.98,n,phones,temp
12.98,13.02,ɓ,phones,temp
13.02,13.09,ə˨˩˨,phones,temp
13.09,13.22,j,phones,temp
13.29,13.33,tɕ,phones,temp
13.33,13.39,a˨˨,phones,temp
13.39,13.57,m,phones,temp
13.57,13.64,tɕ,phones,temp
13.64,13.69,iː˨˦,phones,temp
13.69,13.93,n,phones,temp
13.93,13.96,m,phones,temp
13.96,14.07,oː˦˥,phones,temp
14.07,14.41,k,phones,temp
14.41,14.44,u˨ˀ˥,phones,temp
14.44,14.52,ŋm,phones,temp
14.52,14.56,n,phones,temp
14.56,14.66,ɔː˨˦,phones,temp
14.66,14.7,j,phones,temp
