Begin,End,Label,Type,Speaker
0.12,0.27,thời,words,temp
0.27,0.44,buổi,words,temp
0.44,0.57,hiện,words,temp
0.57,0.8,nay,words,temp
0.8,0.93,rất,words,temp
0.96,1.12,dễ,words,temp
1.12,1.37,dàng,words,temp
1.37,1.44,để,words,temp
1.44,1.54,có,words,temp
1.54,1.62,thể,words,temp
1.62,1.87,thấy,words,temp
1.87,2.12,rằng,words,temp
2.22,2.44,trên,words,temp
2.44,2.65,mọi,words,temp
2.69,2.81,tờ,words,temp
2.81,3.15,báo,words,temp
3.39,3.63,mọi,words,temp
3.63,3.86,trang,words,temp
3.86,4.03,mạng,words,temp
4.03,4.14,xã,words,temp
4.14,4.38,hội,words,temp
4.46,4.55,thì,words,temp
4.55,4.81,phần,words,temp
4.81,5.07,lớn,words,temp
5.07,5.24,thông,words,temp
5.24,5.4,tin,words,temp
5.4,5.48,được,words,temp
5.48,5.64,chú,words,temp
5.64,5.71,ý,words,temp
5.71,5.83,nhất,words,temp
5.94,6.13,đều,words,temp
6.13,6.24,là,words,temp
6.24,6.36,các,words,temp
6.36,6.94,drama,words,temp
7.26,7.35,các,words,temp
7.35,7.59,vi,words,temp
7.59,7.84,phạm,words,temp
7.84,7.95,luật,words,temp
8.0,8.29,pháp,words,temp
8.59,8.73,hay,words,temp
8.73,8.8,là,words,temp
8.8,8.91,các,words,temp
8.91,9.15,chuyện,words,temp
9.15,9.38,xuống,words,temp
9.42,9.52,cấp,words,temp
9.66,9.78,tha,words,temp
9.78,9.97,hóa,words,temp
9.97,10.12,đạo,words,temp
10.12,10.2,đức,words,temp
10.2,10.33,của,words,temp
10.33,10.49,xã,words,temp
10.49,10.69,hội,words,temp
0.12,0.17,tʰ,phones,temp
0.17,0.23,əː˨˨,phones,temp
0.23,0.27,j,phones,temp
0.27,0.34,ɓ,phones,temp
0.34,0.4,uə˨˩˨,phones,temp
0.4,0.44,j,phones,temp
0.44,0.47,h,phones,temp
0.47,0.52,iə˨˩ˀ,phones,temp
0.52,0.57,n,phones,temp
0.57,0.61,n,phones,temp
0.61,0.73,a˨˨,phones,temp
0.73,0.8,j,phones,temp
0.8,0.88,z,phones,temp
0.88,0.93,ə˦˥,phones,temp
0.96,1.07,z,phones,temp
1.07,1.12,eː˨ˀ˥,phones,temp
1.12,1.19,z,phones,temp
1.19,1.31,aː˨˨,phones,temp
1.31,1.37,ŋ,phones,temp
1.37,1.41,ɗ,phones,temp
1.41,1.44,eː˨˩˨,phones,temp
1.44,1.51,k,phones,temp
1.51,1.54,ɔː˨˦,phones,temp
1.54,1.57,tʰ,phones,temp
1.57,1.62,eː˨˩˨,phones,temp
1.62,1.74,tʰ,phones,temp
1.74,1.79,ə˨˦,phones,temp
1.79,1.87,j,phones,temp
1.87,1.94,z,phones,temp
1.94,2.01,a˨˨,phones,temp
2.01,2.12,ŋ,phones,temp
2.22,2.3,tɕ,phones,temp
2.3,2.37,eː˨˨,phones,temp
2.37,2.44,n,phones,temp
2.44,2.5,m,phones,temp
2.5,2.6,ɔː˨˩ˀ,phones,temp
2.6,2.65,j,phones,temp
2.69,2.72,t,phones,temp
2.72,2.81,əː˨˨,phones,temp
2.81,2.88,ɓ,phones,temp
2.88,2.99,aː˨˦,phones,temp
2.99,3.15,w,phones,temp
3.39,3.49,m,phones,temp
3.49,3.58,ɔː˨˩ˀ,phones,temp
3.58,3.63,j,phones,temp
3.63,3.72,tɕ,phones,temp
3.72,3.78,aː˨˨,phones,temp
3.78,3.86,ŋ,phones,temp
3.86,3.9,m,phones,temp
3.9,3.98,aː˨˩ˀ,phones,temp
3.98,4.03,ŋ,phones,temp
4.03,4.1,s,phones,temp
4.1,4.14,aː˨ˀ˥,phones,temp
4.14,4.24,h,phones,temp
4.24,4.33,oː˨˩ˀ,phones,temp
4.33,4.38,j,phones,temp
4.46,4.51,tʰ,phones,temp
4.51,4.55,iː˨˨,phones,temp
4.55,4.65,f,phones,temp
4.65,4.69,ə˨˨,phones,temp
4.69,4.81,n,phones,temp
4.81,4.85,l,phones,temp
4.85,4.97,əː˨˦,phones,temp
4.97,5.07,n,phones,temp
5.07,5.12,tʰ,phones,temp
5.12,5.16,o˨˨,phones,temp
5.16,5.24,ŋm,phones,temp
5.24,5.28,t,phones,temp
5.28,5.36,iː˨˨,phones,temp
5.36,5.4,n,phones,temp
5.4,5.45,ɗ,phones,temp
5.45,5.48,ɨə˨˩,phones,temp
5.48,5.6,tɕ,phones,temp
5.6,5.64,uː˨˦,phones,temp
5.64,5.65,ʔ,phones,temp
5.65,5.71,iː˨˦,phones,temp
5.71,5.77,ɲ,phones,temp
5.77,5.83,ə˦˥,phones,temp
5.94,6.04,ɗ,phones,temp
6.04,6.09,eː˨˨,phones,temp
6.09,6.13,w,phones,temp
6.13,6.21,l,phones,temp
6.21,6.24,aː˨˨,phones,temp
6.24,6.33,k,phones,temp
6.33,6.36,aː˦˥,phones,temp
6.36,6.94,spn,phones,temp
7.26,7.32,k,phones,temp
7.32,7.35,aː˦˥,phones,temp
7.35,7.48,v,phones,temp
7.48,7.59,iː˨˨,phones,temp
7.59,7.69,f,phones,temp
7.69,7.78,aː˨˩ˀ,phones,temp
7.78,7.84,m,phones,temp
7.84,7.87,l,phones,temp
7.87,7.89,w,phones,temp
7.89,7.95,ə˨˩,phones,temp
8.0,8.12,f,phones,temp
8.12,8.29,aː˦˥,phones,temp
8.59,8.67,h,phones,temp
8.67,8.7,a˨˨,phones,temp
8.7,8.73,j,phones,temp
8.73,8.77,l,phones,temp
8.77,8.8,aː˨˨,phones,temp
8.8,8.87,k,phones,temp
8.87,8.91,aː˦˥,phones,temp
8.91,9.03,tɕ,phones,temp
9.03,9.05,w,phones,temp
9.05,9.1,iə˨˩ˀ,phones,temp
9.1,9.15,n,phones,temp
9.15,9.26,s,phones,temp
9.26,9.31,uə˨˦,phones,temp
9.31,9.38,ŋ,phones,temp
9.42,9.52,spn,phones,temp
9.66,9.71,tʰ,phones,temp
9.71,9.78,aː˨˨,phones,temp
9.78,9.87,h,phones,temp
9.87,9.89,w,phones,temp
9.89,9.97,aː˨˦,phones,temp
9.97,10.04,ɗ,phones,temp
10.04,10.09,aː˨˩ˀ,phones,temp
10.09,10.12,w,phones,temp
10.12,10.17,ɗ,phones,temp
10.17,10.2,ɨ˦˥,phones,temp
10.2,10.3,k,phones,temp
10.3,10.33,uə˨˩˨,phones,temp
10.33,10.43,s,phones,temp
10.43,10.49,aː˨ˀ˥,phones,temp
10.49,10.53,h,phones,temp
10.53,10.62,oː˨˩ˀ,phones,temp
10.62,10.69,j,phones,temp
