Begin,End,Label,Type,Speaker
0.0,0.3,sự,words,temp
0.33,0.74,nồng,words,temp
0.74,0.86,nhiệt,words,temp
0.95,1.36,ấy,words,temp
1.39,1.58,thông,words,temp
1.58,1.84,thường,words,temp
1.84,1.98,chỉ,words,temp
1.98,2.13,là,words,temp
2.13,2.4,sự,words,temp
2.4,2.78,trá,words,temp
2.82,2.99,hình,words,temp
3.05,3.15,của,words,temp
3.18,3.42,cảm,words,temp
3.42,3.59,xúc,words,temp
3.8,4.03,thỏa,words,temp
4.03,4.35,mãn,words,temp
4.77,4.85,ích,words,temp
5.02,5.45,kỷ,words,temp
6.36,6.52,nên,words,temp
6.52,6.8,càng,words,temp
6.85,6.95,cố,words,temp
6.95,7.2,gắng,words,temp
7.2,7.43,thăng,words,temp
7.43,7.61,qua,words,temp
7.65,7.87,cảm,words,temp
7.87,8.05,xúc,words,temp
8.78,8.9,thì,words,temp
8.9,9.03,ta,words,temp
9.09,9.33,càng,words,temp
9.36,9.51,tiến,words,temp
9.51,9.72,gần,words,temp
9.72,9.87,đến,words,temp
9.87,10.17,sự,words,temp
10.17,10.49,nhàm,words,temp
10.49,10.8,chán,words,temp
10.8,11.04,nhau,words,temp
0.0,0.13,s,phones,temp
0.13,0.3,ɨː˨˩ˀ,phones,temp
0.33,0.49,n,phones,temp
0.49,0.54,o˨˨,phones,temp
0.54,0.74,ŋm,phones,temp
0.74,0.78,ɲ,phones,temp
0.78,0.86,iə˨˩,phones,temp
0.95,0.96,ʔ,phones,temp
0.96,1.0,ə˨˦,phones,temp
1.0,1.36,j,phones,temp
1.39,1.47,tʰ,phones,temp
1.47,1.5,o˨˨,phones,temp
1.5,1.58,ŋm,phones,temp
1.58,1.68,tʰ,phones,temp
1.68,1.71,ɨə˨˨,phones,temp
1.71,1.84,ŋ,phones,temp
1.84,1.94,tɕ,phones,temp
1.94,1.98,iː˨˩˨,phones,temp
1.98,2.06,l,phones,temp
2.06,2.13,aː˨˨,phones,temp
2.13,2.29,s,phones,temp
2.29,2.4,ɨː˨˩ˀ,phones,temp
2.4,2.59,tɕ,phones,temp
2.59,2.78,aː˨˦,phones,temp
2.82,2.85,h,phones,temp
2.85,2.9,i˨˨,phones,temp
2.9,2.99,ɲ,phones,temp
3.05,3.09,k,phones,temp
3.09,3.15,uə˨˩˨,phones,temp
3.18,3.24,k,phones,temp
3.24,3.31,aː˨˩˨,phones,temp
3.31,3.42,m,phones,temp
3.42,3.53,s,phones,temp
3.53,3.55,u˦˥,phones,temp
3.55,3.59,kp,phones,temp
3.8,3.92,tʰ,phones,temp
3.92,4.0,w,phones,temp
4.0,4.03,aː˨˩˨,phones,temp
4.03,4.15,m,phones,temp
4.15,4.27,aː˨ˀ˥,phones,temp
4.27,4.35,n,phones,temp
4.77,4.78,ʔ,phones,temp
4.78,4.83,i˦˥,phones,temp
4.83,4.85,c,phones,temp
5.02,5.08,k,phones,temp
5.08,5.45,iː˨˩˨,phones,temp
6.36,6.44,n,phones,temp
6.44,6.48,eː˨˨,phones,temp
6.48,6.52,n,phones,temp
6.52,6.63,k,phones,temp
6.63,6.71,aː˨˨,phones,temp
6.71,6.8,ŋ,phones,temp
6.85,6.89,k,phones,temp
6.89,6.95,oː˨˦,phones,temp
6.95,7.04,ɣ,phones,temp
7.04,7.08,a˨˦,phones,temp
7.08,7.2,ŋ,phones,temp
7.2,7.28,tʰ,phones,temp
7.28,7.31,a˨˨,phones,temp
7.31,7.43,ŋ,phones,temp
7.43,7.46,k,phones,temp
7.46,7.5,w,phones,temp
7.5,7.61,aː˨˨,phones,temp
7.65,7.7,k,phones,temp
7.7,7.77,aː˨˩˨,phones,temp
7.77,7.87,m,phones,temp
7.87,7.98,s,phones,temp
7.98,8.0,u˦˥,phones,temp
8.0,8.05,kp,phones,temp
8.78,8.86,tʰ,phones,temp
8.86,8.9,iː˨˨,phones,temp
8.9,8.99,t,phones,temp
8.99,9.03,aː˨˨,phones,temp
9.09,9.14,k,phones,temp
9.14,9.23,aː˨˨,phones,temp
9.23,9.33,ŋ,phones,temp
9.36,9.4,t,phones,temp
9.4,9.45,iə˨˦,phones,temp
9.45,9.51,n,phones,temp
9.51,9.59,ɣ,phones,temp
9.59,9.62,ə˨˨,phones,temp
9.62,9.72,n,phones,temp
9.72,9.76,ɗ,phones,temp
9.76,9.79,eː˨˦,phones,temp
9.79,9.87,n,phones,temp
9.87,10.05,s,phones,temp
10.05,10.17,ɨː˨˩ˀ,phones,temp
10.17,10.32,ɲ,phones,temp
10.32,10.4,aː˨˨,phones,temp
10.4,10.49,m,phones,temp
10.49,10.61,tɕ,phones,temp
10.61,10.67,aː˨˦,phones,temp
10.67,10.8,n,phones,temp
10.8,10.85,ɲ,phones,temp
10.85,10.93,a˨˨,phones,temp
10.93,11.04,w,phones,temp
