Begin,End,Label,Type,Speaker
1.03,1.21,trong,words,temp
1.21,1.4,trường,words,temp
1.4,1.59,hợp,words,temp
1.68,1.77,ta,words,temp
1.77,1.94,đang,words,temp
1.94,2.1,bị,words,temp
2.1,2.34,năng,words,temp
2.34,2.63,lượng,words,temp
2.63,2.88,nhàm,words,temp
2.88,3.12,chán,words,temp
3.19,3.31,thúc,words,temp
3.37,3.68,đẩy,words,temp
4.57,4.71,thì,words,temp
4.71,4.87,hãy,words,temp
4.87,5.04,cố,words,temp
5.04,5.29,gắng,words,temp
5.29,5.52,đừng,words,temp
5.52,5.77,tin,words,temp
5.89,6.0,đó,words,temp
6.0,6.11,là,words,temp
6.11,6.38,cảm,words,temp
6.38,6.56,xúc,words,temp
6.63,6.85,thật,words,temp
7.16,7.28,mà,words,temp
7.28,7.41,có,words,temp
7.41,7.76,những,words,temp
7.84,7.92,quyết,words,temp
7.92,8.1,định,words,temp
8.1,8.32,nông,words,temp
8.32,8.59,nổi,words,temp
9.85,9.97,ta,words,temp
9.97,10.17,phải,words,temp
10.17,10.4,mau,words,temp
10.45,10.7,chóng,words,temp
10.7,10.87,dừng,words,temp
10.87,11.18,lại,words,temp
1.03,1.08,tɕ,phones,temp
1.08,1.11,ɔ˨˨,phones,temp
1.11,1.21,ŋm,phones,temp
1.21,1.27,tɕ,phones,temp
1.27,1.32,ɨə˨˨,phones,temp
1.32,1.4,ŋ,phones,temp
1.4,1.47,h,phones,temp
1.47,1.59,əː˨˩,phones,temp
1.68,1.74,t,phones,temp
1.74,1.77,aː˨˨,phones,temp
1.77,1.81,ɗ,phones,temp
1.81,1.86,aː˨˨,phones,temp
1.86,1.94,ŋ,phones,temp
1.94,1.99,ɓ,phones,temp
1.99,2.1,iː˨˩ˀ,phones,temp
2.1,2.21,n,phones,temp
2.21,2.25,a˨˨,phones,temp
2.25,2.34,ŋ,phones,temp
2.34,2.43,l,phones,temp
2.43,2.46,ɨə˨˩ˀ,phones,temp
2.46,2.63,ŋ,phones,temp
2.63,2.7,ɲ,phones,temp
2.7,2.76,aː˨˨,phones,temp
2.76,2.88,m,phones,temp
2.88,2.97,tɕ,phones,temp
2.97,3.07,aː˨˦,phones,temp
3.07,3.12,n,phones,temp
3.19,3.26,tʰ,phones,temp
3.26,3.28,u˦˥,phones,temp
3.28,3.31,kp,phones,temp
3.37,3.45,ɗ,phones,temp
3.45,3.49,ə˨˩˨,phones,temp
3.49,3.68,j,phones,temp
4.57,4.65,tʰ,phones,temp
4.65,4.71,iː˨˨,phones,temp
4.71,4.78,h,phones,temp
4.78,4.81,a˨ˀ˥,phones,temp
4.81,4.87,j,phones,temp
4.87,4.98,k,phones,temp
4.98,5.04,oː˨˦,phones,temp
5.04,5.15,ɣ,phones,temp
5.15,5.18,a˨˦,phones,temp
5.18,5.29,ŋ,phones,temp
5.29,5.34,ɗ,phones,temp
5.34,5.38,ɨ˨˨,phones,temp
5.38,5.52,ŋ,phones,temp
5.52,5.57,t,phones,temp
5.57,5.64,iː˨˨,phones,temp
5.64,5.77,n,phones,temp
5.89,5.93,ɗ,phones,temp
5.93,6.0,ɔː˨˦,phones,temp
6.0,6.07,l,phones,temp
6.07,6.11,aː˨˨,phones,temp
6.11,6.22,k,phones,temp
6.22,6.31,aː˨˩˨,phones,temp
6.31,6.38,m,phones,temp
6.38,6.51,s,phones,temp
6.51,6.53,u˦˥,phones,temp
6.53,6.56,kp,phones,temp
6.63,6.69,tʰ,phones,temp
6.69,6.85,ə˨˩,phones,temp
7.16,7.23,m,phones,temp
7.23,7.28,aː˨˨,phones,temp
7.28,7.37,k,phones,temp
7.37,7.41,ɔː˨˦,phones,temp
7.41,7.52,ɲ,phones,temp
7.52,7.57,ɨ˨ˀ˥,phones,temp
7.57,7.76,ŋ,phones,temp
7.84,7.87,k,phones,temp
7.87,7.89,w,phones,temp
7.89,7.92,iə˦˥,phones,temp
7.92,7.95,ɗ,phones,temp
7.95,7.98,i˨˩ˀ,phones,temp
7.98,8.1,ɲ,phones,temp
8.1,8.15,n,phones,temp
8.15,8.19,o˨˨,phones,temp
8.19,8.32,ŋm,phones,temp
8.32,8.36,n,phones,temp
8.36,8.51,oː˨˩˨,phones,temp
8.51,8.59,j,phones,temp
9.85,9.91,t,phones,temp
9.91,9.97,aː˨˨,phones,temp
9.97,10.08,f,phones,temp
10.08,10.12,aː˨˩˨,phones,temp
10.12,10.17,j,phones,temp
10.17,10.26,m,phones,temp
10.26,10.3,a˨˨,phones,temp
10.3,10.4,w,phones,temp
10.45,10.49,tɕ,phones,temp
10.49,10.53,ɔ˨˦,phones,temp
10.53,10.7,ŋm,phones,temp
10.7,10.76,z,phones,temp
10.76,10.79,ɨ˨˨,phones,temp
10.79,10.87,ŋ,phones,temp
10.87,10.98,l,phones,temp
10.98,11.09,aː˨˩ˀ,phones,temp
11.09,11.18,j,phones,temp
