Begin,End,Label,Type,Speaker
0.08,0.24,khi,words,temp
0.24,0.42,anh,words,temp
0.42,0.7,ngã,words,temp
0.82,1.0,thì,words,temp
1.0,1.2,em,words,temp
1.2,1.46,nâng,words,temp
2.75,3.08,nếu,words,temp
3.08,3.36,em,words,temp
3.36,3.53,và,words,temp
3.53,3.68,anh,words,temp
3.68,3.78,có,words,temp
3.78,4.11,tình,words,temp
4.11,5.0,thương,words,temp
5.19,5.28,và,words,temp
5.28,5.48,có,words,temp
5.48,5.77,sẵn,words,temp
5.77,5.97,khả,words,temp
5.97,6.25,năng,words,temp
6.25,6.33,để,words,temp
6.33,6.59,nâng,words,temp
6.59,6.86,đỡ,words,temp
7.81,8.04,dù,words,temp
8.04,8.24,đó,words,temp
8.24,8.5,chỉ,words,temp
8.5,8.61,là,words,temp
8.61,8.73,một,words,temp
8.73,9.02,hành,words,temp
9.02,9.14,động,words,temp
9.2,9.58,lắng,words,temp
9.58,9.78,nghe,words,temp
9.81,10.03,chăm,words,temp
10.03,10.28,chú,words,temp
0.08,0.15,x,phones,temp
0.15,0.24,iː˨˨,phones,temp
0.24,0.25,ʔ,phones,temp
0.25,0.3,a˨˨,phones,temp
0.3,0.42,ɲ,phones,temp
0.42,0.47,ŋ,phones,temp
0.47,0.7,aː˨ˀ˥,phones,temp
0.82,0.88,tʰ,phones,temp
0.88,1.0,iː˨˨,phones,temp
1.0,1.01,ʔ,phones,temp
1.01,1.07,ɛː˨˨,phones,temp
1.07,1.2,m,phones,temp
1.2,1.24,n,phones,temp
1.24,1.27,ə˨˨,phones,temp
1.27,1.46,ŋ,phones,temp
2.75,2.93,n,phones,temp
2.93,2.97,eː˨˦,phones,temp
2.97,3.08,w,phones,temp
3.08,3.09,ʔ,phones,temp
3.09,3.24,ɛː˨˨,phones,temp
3.24,3.36,m,phones,temp
3.36,3.46,v,phones,temp
3.46,3.53,aː˨˨,phones,temp
3.53,3.54,ʔ,phones,temp
3.54,3.59,a˨˨,phones,temp
3.59,3.68,ɲ,phones,temp
3.68,3.75,k,phones,temp
3.75,3.78,ɔː˨˦,phones,temp
3.78,3.88,t,phones,temp
3.88,3.94,i˨˨,phones,temp
3.94,4.11,ɲ,phones,temp
4.11,4.17,tʰ,phones,temp
4.17,4.3,ɨə˨˨,phones,temp
4.3,5.0,ŋ,phones,temp
5.19,5.25,v,phones,temp
5.25,5.28,aː˨˨,phones,temp
5.28,5.41,k,phones,temp
5.41,5.48,ɔː˨˦,phones,temp
5.48,5.63,s,phones,temp
5.63,5.67,a˨ˀ˥,phones,temp
5.67,5.77,n,phones,temp
5.77,5.91,x,phones,temp
5.91,5.97,aː˨˩˨,phones,temp
5.97,6.05,n,phones,temp
6.05,6.11,a˨˨,phones,temp
6.11,6.25,ŋ,phones,temp
6.25,6.29,ɗ,phones,temp
6.29,6.33,eː˨˩˨,phones,temp
6.33,6.43,n,phones,temp
6.43,6.49,ə˨˨,phones,temp
6.49,6.59,ŋ,phones,temp
6.59,6.64,ɗ,phones,temp
6.64,6.86,əː˨ˀ˥,phones,temp
7.81,7.95,z,phones,temp
7.95,8.04,uː˨˨,phones,temp
8.04,8.11,ɗ,phones,temp
8.11,8.24,ɔː˨˦,phones,temp
8.24,8.4,tɕ,phones,temp
8.4,8.5,iː˨˩˨,phones,temp
8.5,8.58,l,phones,temp
8.58,8.61,aː˨˨,phones,temp
8.61,8.7,m,phones,temp
8.7,8.73,oː˨˩,phones,temp
8.73,8.85,h,phones,temp
8.85,8.89,a˨˨,phones,temp
8.89,9.02,ɲ,phones,temp
9.02,9.06,ɗ,phones,temp
9.06,9.1,o˨˩ˀ,phones,temp
9.1,9.14,ŋm,phones,temp
9.2,9.34,l,phones,temp
9.34,9.37,a˨˦,phones,temp
9.37,9.58,ŋ,phones,temp
9.58,9.62,ŋ,phones,temp
9.62,9.78,ɛː˨˨,phones,temp
9.81,9.87,tɕ,phones,temp
9.87,9.91,a˨˨,phones,temp
9.91,10.03,m,phones,temp
10.03,10.12,tɕ,phones,temp
10.12,10.28,uː˨˦,phones,temp
