Begin,End,Label,Type,Speaker
0.07,0.24,kéo,words,temp
0.3,0.48,dài,words,temp
0.48,0.77,thêm,words,temp
0.77,0.97,hai,words,temp
0.97,1.2,năm,words,temp
1.2,1.52,nữa,words,temp
2.43,2.69,trong,words,temp
2.69,2.86,các,words,temp
3.02,3.21,trận,words,temp
3.21,3.39,đánh,words,temp
3.39,3.7,này,words,temp
4.17,4.3,khu,words,temp
4.37,4.53,trục,words,temp
4.53,4.89,hạm,words,temp
4.97,5.1,đã,words,temp
5.1,5.38,nắm,words,temp
5.38,5.56,giữ,words,temp
5.56,5.83,vai,words,temp
5.87,6.13,trò,words,temp
6.22,6.44,tiền,words,temp
6.44,6.7,phong,words,temp
6.7,6.97,lần,words,temp
6.97,7.13,đầu,words,temp
7.13,7.52,tiên,words,temp
7.65,7.89,và,words,temp
7.95,8.07,có,words,temp
8.07,8.28,thể,words,temp
8.28,8.55,cũng,words,temp
8.55,8.66,là,words,temp
8.66,8.88,lần,words,temp
8.88,9.1,cuối,words,temp
9.16,9.44,cùng,words,temp
9.5,9.67,trong,words,temp
9.67,9.79,lịch,words,temp
9.82,10.1,sử,words,temp
0.07,0.14,k,phones,temp
0.14,0.18,ɛː˨˦,phones,temp
0.18,0.24,w,phones,temp
0.3,0.33,z,phones,temp
0.33,0.41,aː˨˨,phones,temp
0.41,0.48,j,phones,temp
0.48,0.6,tʰ,phones,temp
0.6,0.67,eː˨˨,phones,temp
0.67,0.77,m,phones,temp
0.77,0.88,h,phones,temp
0.88,0.92,aː˨˨,phones,temp
0.92,0.97,j,phones,temp
0.97,1.05,n,phones,temp
1.05,1.09,a˨˨,phones,temp
1.09,1.2,m,phones,temp
1.2,1.25,n,phones,temp
1.25,1.52,ɨə˨ˀ˥,phones,temp
2.43,2.49,tɕ,phones,temp
2.49,2.55,ɔ˨˨,phones,temp
2.55,2.69,ŋm,phones,temp
2.69,2.79,k,phones,temp
2.79,2.86,aː˦˥,phones,temp
3.02,3.07,tɕ,phones,temp
3.07,3.11,ə˨˩ˀ,phones,temp
3.11,3.21,n,phones,temp
3.21,3.26,ɗ,phones,temp
3.26,3.29,a˨˦,phones,temp
3.29,3.39,ɲ,phones,temp
3.39,3.43,n,phones,temp
3.43,3.5,a˨˨,phones,temp
3.5,3.7,j,phones,temp
4.17,4.25,x,phones,temp
4.25,4.3,uː˨˨,phones,temp
4.37,4.42,tɕ,phones,temp
4.42,4.44,u˨˩,phones,temp
4.44,4.53,kp,phones,temp
4.53,4.89,spn,phones,temp
4.97,5.04,ɗ,phones,temp
5.04,5.1,aː˨ˀ˥,phones,temp
5.1,5.21,n,phones,temp
5.21,5.25,a˨˦,phones,temp
5.25,5.38,m,phones,temp
5.38,5.42,z,phones,temp
5.42,5.56,ɨː˨ˀ˥,phones,temp
5.56,5.69,v,phones,temp
5.69,5.75,aː˨˨,phones,temp
5.75,5.83,j,phones,temp
5.87,5.93,tɕ,phones,temp
5.93,6.13,ɔː˨˨,phones,temp
6.22,6.27,t,phones,temp
6.27,6.32,iə˨˨,phones,temp
6.32,6.44,n,phones,temp
6.44,6.53,f,phones,temp
6.53,6.59,ɔ˨˨,phones,temp
6.59,6.7,ŋm,phones,temp
6.7,6.82,l,phones,temp
6.82,6.86,ə˨˨,phones,temp
6.86,6.97,n,phones,temp
6.97,7.01,ɗ,phones,temp
7.01,7.04,ə˨˨,phones,temp
7.04,7.13,w,phones,temp
7.13,7.23,t,phones,temp
7.23,7.34,iə˨˨,phones,temp
7.34,7.52,n,phones,temp
7.65,7.77,v,phones,temp
7.77,7.89,aː˨˨,phones,temp
7.95,8.01,k,phones,temp
8.01,8.07,ɔː˨˦,phones,temp
8.07,8.18,tʰ,phones,temp
8.18,8.28,eː˨˩˨,phones,temp
8.28,8.41,k,phones,temp
8.41,8.45,u˨ˀ˥,phones,temp
8.45,8.55,ŋm,phones,temp
8.55,8.6,l,phones,temp
8.6,8.66,aː˨˨,phones,temp
8.66,8.77,l,phones,temp
8.77,8.81,ə˨˨,phones,temp
8.81,8.88,n,phones,temp
8.88,9.01,k,phones,temp
9.01,9.07,uə˨˦,phones,temp
9.07,9.1,j,phones,temp
9.16,9.23,k,phones,temp
9.23,9.31,u˨˨,phones,temp
9.31,9.44,ŋm,phones,temp
9.5,9.55,tɕ,phones,temp
9.55,9.58,ɔ˨˨,phones,temp
9.58,9.67,ŋm,phones,temp
9.67,9.73,l,phones,temp
9.73,9.77,i˨˩,phones,temp
9.77,9.79,c,phones,temp
9.82,9.95,s,phones,temp
9.95,10.1,ɨː˨˩˨,phones,temp
