Begin,End,Label,Type,Speaker
0.29,0.6,khi,words,temp
0.63,0.73,ta,words,temp
0.73,1.14,không,words,temp
1.17,1.37,còn,words,temp
1.45,1.49,biết,words,temp
1.76,2.03,tin,words,temp
2.03,2.37,tưởng,words,temp
2.4,2.64,vào,words,temp
2.71,3.15,đâu,words,temp
3.94,4.28,đúng,words,temp
4.28,4.53,hơn,words,temp
4.53,5.2,là,words,temp
5.67,5.99,trái,words,temp
6.02,6.2,tim,words,temp
6.28,6.49,ta,words,temp
6.49,6.69,đã,words,temp
6.69,6.98,không,words,temp
6.98,7.18,đủ,words,temp
7.18,7.39,sức,words,temp
7.56,7.71,chứa,words,temp
7.71,7.97,đựng,words,temp
7.97,8.24,sự,words,temp
8.24,8.59,mất,words,temp
8.59,8.97,mát,words,temp
8.97,9.15,quá,words,temp
9.15,10.03,lớn,words,temp
0.29,0.39,x,phones,temp
0.39,0.6,iː˨˨,phones,temp
0.63,0.66,t,phones,temp
0.66,0.73,aː˨˨,phones,temp
0.73,0.9,x,phones,temp
0.9,0.95,o˨˨,phones,temp
0.95,1.14,ŋm,phones,temp
1.17,1.2,k,phones,temp
1.2,1.34,ɔː˨˨,phones,temp
1.34,1.37,n,phones,temp
1.45,1.48,ɓ,phones,temp
1.48,1.49,iə˦˥,phones,temp
1.76,1.79,t,phones,temp
1.79,1.83,iː˨˨,phones,temp
1.83,2.03,n,phones,temp
2.03,2.08,t,phones,temp
2.08,2.14,ɨə˨˩˨,phones,temp
2.14,2.37,ŋ,phones,temp
2.4,2.51,v,phones,temp
2.51,2.55,aː˨˨,phones,temp
2.55,2.64,w,phones,temp
2.71,2.74,ɗ,phones,temp
2.74,2.78,ə˨˨,phones,temp
2.78,3.15,w,phones,temp
3.94,4.09,ɗ,phones,temp
4.09,4.15,u˨˦,phones,temp
4.15,4.28,ŋm,phones,temp
4.28,4.4,h,phones,temp
4.4,4.46,əː˨˨,phones,temp
4.46,4.53,n,phones,temp
4.53,4.68,l,phones,temp
4.68,5.2,aː˨˨,phones,temp
5.67,5.74,tɕ,phones,temp
5.74,5.81,aː˨˦,phones,temp
5.81,5.99,j,phones,temp
6.02,6.05,t,phones,temp
6.05,6.12,iː˨˨,phones,temp
6.12,6.2,m,phones,temp
6.28,6.31,t,phones,temp
6.31,6.49,aː˨˨,phones,temp
6.49,6.58,ɗ,phones,temp
6.58,6.69,aː˨ˀ˥,phones,temp
6.69,6.76,x,phones,temp
6.76,6.8,o˨˨,phones,temp
6.8,6.98,ŋm,phones,temp
6.98,7.02,ɗ,phones,temp
7.02,7.18,uː˨˩˨,phones,temp
7.18,7.34,s,phones,temp
7.34,7.39,ɨ˦˥,phones,temp
7.56,7.62,tɕ,phones,temp
7.62,7.71,ɨə˨˦,phones,temp
7.71,7.82,ɗ,phones,temp
7.82,7.89,ɨ˨˩ˀ,phones,temp
7.89,7.97,ŋ,phones,temp
7.97,8.13,s,phones,temp
8.13,8.24,ɨː˨˩ˀ,phones,temp
8.24,8.59,spn,phones,temp
8.59,8.97,spn,phones,temp
8.97,9.0,k,phones,temp
9.0,9.06,w,phones,temp
9.06,9.15,aː˨˦,phones,temp
9.15,9.28,l,phones,temp
9.28,9.33,əː˨˦,phones,temp
9.33,10.03,n,phones,temp
