Begin,End,Label,Type,Speaker
0.37,0.59,không,words,audio_prompt
0.59,0.66,một,words,audio_prompt
0.75,0.86,chiếc,words,audio_prompt
0.86,1.05,xe,words,audio_prompt
1.05,1.24,lạ,words,audio_prompt
1.24,1.45,nào,words,audio_prompt
1.45,1.56,có,words,audio_prompt
1.56,1.73,thể,words,audio_prompt
1.73,2.02,mon,words,audio_prompt
2.02,2.24,men,words,audio_prompt
2.24,2.39,vào,words,audio_prompt
2.39,2.52,được,words,audio_prompt
0.37,0.48,x,phones,audio_prompt
0.48,0.52,o˨˨,phones,audio_prompt
0.52,0.59,ŋm,phones,audio_prompt
0.59,0.63,m,phones,audio_prompt
0.63,0.66,oː˨˩,phones,audio_prompt
0.75,0.78,tɕ,phones,audio_prompt
0.78,0.86,iə˦˥,phones,audio_prompt
0.86,0.96,s,phones,audio_prompt
0.96,1.05,ɛː˨˨,phones,audio_prompt
1.05,1.12,l,phones,audio_prompt
1.12,1.24,aː˨˩ˀ,phones,audio_prompt
1.24,1.3,n,phones,audio_prompt
1.3,1.38,aː˨˨,phones,audio_prompt
1.38,1.45,w,phones,audio_prompt
1.45,1.5,k,phones,audio_prompt
1.5,1.56,ɔː˨˦,phones,audio_prompt
1.56,1.63,tʰ,phones,audio_prompt
1.63,1.73,eː˨˩˨,phones,audio_prompt
1.73,2.02,spn,phones,audio_prompt
2.02,2.24,spn,phones,audio_prompt
2.24,2.28,v,phones,audio_prompt
2.28,2.33,aː˨˨,phones,audio_prompt
2.33,2.39,w,phones,audio_prompt
2.39,2.46,ɗ,phones,audio_prompt
2.46,2.52,ɨə˨˩,phones,audio_prompt
